filename,precision@10,recall@10,mrr,hit_rate@10,source_acc
Reranker-Prefix_(naive),0.8000000000000002,0.8,1.0,1.0,0.64
Reranker-Prefix_(recursive),0.78,0.8,1.0,1.0,0.6266666666666666
Reranker-TFIDF_(recursive),0.7933333333333332,0.8,1.0,1.0,0.5666666666666667
Content_(recursive),0.7066666666666668,0.6888888888888889,0.9666666666666667,1.0,0.5333333333333333
Reranker-TFIDF_(naive),0.7933333333333333,0.8111111111111111,0.9666666666666667,1.0,0.5533333333333332
Reranker-Prefix_(semantic),0.7466666666666666,0.7444444444444444,0.9555555555555555,1.0,0.6
Reranker-TFIDF_(semantic),0.6466666666666666,0.6888888888888889,0.95,1.0,0.5066666666666666
Prefix-Fusion_(recursive),0.7066666666666668,0.5777777777777777,0.8888888888888888,1.0,0.52
TF-IDF_(recursive),0.7200000000000001,0.7333333333333333,0.8777777777777778,1.0,0.45666666666666667
Content_(naive),0.6466666666666666,0.7777777777777778,0.7799999999999999,1.0,0.5733333333333335
Content_(semantic),0.5133333333333333,0.6222222222222222,0.7138888888888889,1.0,0.5533333333333332
Prefix-Fusion_(naive),0.6400000000000001,0.7333333333333332,0.7133333333333333,1.0,0.5399999999999999
Prefix-Fusion_(semantic),0.6066666666666668,0.611111111111111,0.6855555555555556,1.0,0.5166666666666667
TF-IDF_(semantic),0.4799999999999999,0.5555555555555555,0.65,1.0,0.42666666666666664
TF-IDF_(naive),0.6,0.711111111111111,0.6166666666666667,1.0,0.4633333333333333
